Date,GDP Growth (%),PCE Inflation (%),3-Month Treasury Bill (%),Expected Inflation (%),CRB Index Change (%)
1954-04-01,5.0,1.8,0.64,1.8,0.0
1954-07-01,4.493424297324861,1.8,1.01,1.8,0.0
1954-10-01,7.7522472540476,1.8,1.15,1.8,0.0
1955-01-01,11.266224543667,1.8,1.28,1.8,0.0
1955-04-01,6.457769783411503,1.8,1.41,1.8,0.0
1955-07-01,5.367116426544805,1.8,2.07,1.8,0.0
1955-10-01,2.3954773123417605,1.8,2.54,1.8,0.0
1956-01-01,-1.5551901075723242,1.8,2.25,1.8,0.0
1956-04-01,3.2927149196904972,1.8,2.49,1.8,0.0
1956-07-01,-0.35897457890722995,1.8,2.84,1.8,0.0
1956-10-01,6.530051974175126,1.8,3.21,1.8,0.0
1957-01-01,2.5529074581462576,1.8,3.08,1.8,5.91
1957-04-01,-0.8775228122848653,1.8,3.29,1.8,2.79
1957-07-01,3.9006069446666154,1.8,3.53,1.8,0.0
1957-10-01,-4.1597076148322545,1.8,3.04,1.8,-0.76
1958-01-01,-10.520767531874242,1.8,1.3,1.8,0.77
1958-04-01,2.6190026791574956,1.8,0.83,1.8,0.0
1958-07-01,9.147056674123402,1.8,2.44,1.8,0.0
1958-10-01,9.245248797485264,1.8,2.77,1.8,-1.52
1959-01-01,7.600947922231101,0.8,2.8,1.8,-1.1
1959-04-01,8.913675384249121,2.4,3.21,1.8,-0.67
1959-07-01,0.278809715499026,2.4,4.04,1.8,0.0
1959-10-01,1.138301547143116,1.6,4.49,1.8,0.0
1960-01-01,8.894873400140874,0.0,4.35,1.8,0.0
