"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","374.51","378.33","382.53","365.09","","-0.57%"
"11/01/2025","376.65","381.39","382.91","367.67","","-0.05%"
"10/01/2025","376.84","373.12","379.61","363.85","","0.98%"
"09/01/2025","373.19","376.73","380.91","368.67","","-0.23%"
"08/01/2025","374.05","364.11","374.05","361.67","","1.20%"
"07/01/2025","369.61","363.72","377.14","363.72","","1.21%"
"06/01/2025","365.18","361.10","385.67","361.10","","2.73%"
"05/01/2025","355.47","353.10","367.09","351.88","","0.93%"
"04/01/2025","352.18","377.73","381.15","340.35","","-6.31%"
"03/01/2025","375.89","363.73","375.89","363.73","","2.85%"
"02/01/2025","365.48","372.96","382.99","365.48","","-0.70%"
"01/01/2025","368.05","359.60","376.04","356.99","","3.15%"
"12/01/2024","356.81","340.98","356.81","340.98","","3.81%"
"11/01/2024","343.72","333.57","346.98","333.37","","2.90%"
"10/01/2024","334.04","340.52","349.34","331.34","","-1.40%"
"09/01/2024","338.78","323.18","341.67","314.81","","3.28%"
"08/01/2024","328.00","322.61","333.67","317.13","","0.03%"
"07/01/2024","327.90","342.25","345.23","323.87","","-3.79%"
"06/01/2024","340.81","337.95","346.41","334.70","","0.52%"
"05/01/2024","339.05","332.07","350.67","331.31","","0.01%"
"04/01/2024","339.03","338.60","346.35","338.60","","0.89%"
"03/01/2024","336.03","319.51","336.03","318.22","","5.96%"
"02/01/2024","317.12","309.66","318.66","307.45","","1.41%"
"01/01/2024","312.72","300.22","314.49","299.36","","3.75%"
"12/01/2023","301.40","308.07","308.07","294.12","","-3.17%"
"11/01/2023","311.29","316.12","319.75","307.55","","-2.24%"
"10/01/2023","318.42","318.54","324.83","309.83","","-0.71%"
"09/01/2023","320.71","319.18","326.46","318.80","","1.37%"
"08/01/2023","316.38","313.79","316.38","306.22","","0.36%"
"07/01/2023","315.23","290.27","315.23","290.27","","8.19%"
"06/01/2023","291.36","285.01","300.66","285.01","","3.66%"
"05/01/2023","281.07","293.61","293.61","281.07","","-4.88%"
"04/01/2023","295.51","297.98","306.94","291.89","","0.55%"
"03/01/2023","293.90","298.30","300.83","278.28","","-0.38%"
"02/01/2023","295.01","296.11","298.52","290.08","","-2.61%"
"01/01/2023","302.92","293.26","304.96","286.29","","0.53%"
