observation_date,TB3MS
1954-01-01,1.18
1954-02-01,0.97
1954-03-01,1.03
1954-04-01,0.97
1954-05-01,0.76
1954-06-01,0.64
1954-07-01,0.72
1954-08-01,0.92
1954-09-01,1.01
1954-10-01,0.98
1954-11-01,0.93
1954-12-01,1.15
1955-01-01,1.22
1955-02-01,1.17
1955-03-01,1.28
1955-04-01,1.59
1955-05-01,1.45
1955-06-01,1.41
1955-07-01,1.60
1955-08-01,1.90
1955-09-01,2.07
1955-10-01,2.23
1955-11-01,2.24
1955-12-01,2.54
1956-01-01,2.41
1956-02-01,2.32
1956-03-01,2.25
1956-04-01,2.60
1956-05-01,2.61
1956-06-01,2.49
1956-07-01,2.31
1956-08-01,2.60
1956-09-01,2.84
1956-10-01,2.90
1956-11-01,2.99
1956-12-01,3.21
1957-01-01,3.11
1957-02-01,3.10
1957-03-01,3.08
1957-04-01,3.07
1957-05-01,3.06
1957-06-01,3.29
1957-07-01,3.16
1957-08-01,3.37
1957-09-01,3.53
1957-10-01,3.58
1957-11-01,3.31
1957-12-01,3.04
1958-01-01,2.44
1958-02-01,1.53
1958-03-01,1.30
1958-04-01,1.13
1958-05-01,0.91
1958-06-01,0.83
1958-07-01,0.91
1958-08-01,1.69
1958-09-01,2.44
1958-10-01,2.63
1958-11-01,2.67
1958-12-01,2.77
1959-01-01,2.82
1959-02-01,2.70
1959-03-01,2.80
1959-04-01,2.95
1959-05-01,2.84
1959-06-01,3.21
1959-07-01,3.20
1959-08-01,3.38
1959-09-01,4.04
1959-10-01,4.05
1959-11-01,4.15
1959-12-01,4.49
1960-01-01,4.35
